"","Ac_No","Age","Years.of.Experience","Number.of.Vehicles","Gender","Married","Losses.in.Thousands"
"2",144880,31,10,1,"F","Single",402.1973024
"4",151282,52,31,1,"F","Married",292.4305792
"5",174407,20,3,1,"M","Single",246.5405761
"9",137434,69,48,1,"M","Single",69.89304091
"11",154894,19,1,1,"M","Single",763.7298567
"12",187293,29,8,1,"F","Single",407.3893742
"16",160387,57,40,1,"M","Married",314.6620972
"18",108345,20,1,1,"M","Single",772.6448203
"19",122164,67,49,1,"M","Single",593.4274113
"23",197555,29,10,1,"F","Single",825.2772277
"25",155134,22,3,1,"F","Single",220.6385329
"26",104183,33,16,1,"M","Single",169.3764585
"30",102189,20,2,1,"F","Married",354.1103301
"32",101564,31,12,1,"M","Married",670.8921754
"33",105052,30,13,1,"M","Single",446.7508297
"37",152298,23,4,1,"M","Single",845.7592784
"39",197889,39,18,1,"F","Single",791.135206
"40",109945,35,14,1,"F","Single",355.2515755
"44",140463,25,6,1,"M","Single",747.5273873
"46",193219,48,29,1,"M","Married",330.1933096
"47",196673,18,1,1,"M","Single",904.8401349
"51",196090,25,6,1,"M","Married",597.4422021
"53",116625,67,47,1,"F","Married",218.5837842
"54",120268,60,41,1,"F","Married",227.6644878
"58",101760,20,1,1,"F","Married",191.4841522
"60",132104,16,0,1,"M","Married",264.7891684
"61",185013,70,51,1,"M","Single",341.9072784
"65",174077,20,2,1,"F","Married",435.088519
"67",151384,20,2,1,"M","Married",373.3754632
"68",127729,64,47,1,"M","Married",48.01445411
"72",108996,61,40,1,"M","Single",388.6544422
"74",198046,60,42,1,"F","Single",46.01271223
"75",149010,17,0,1,"M","Married",354.6611912
"79",146306,65,48,1,"M","Single",25.88680711
"81",149440,59,42,1,"M","Single",351.1678295
"82",122855,66,45,1,"F","Married",15.5892684
"86",115303,64,46,1,"F","Married",260.2725911
"88",163555,46,27,1,"M","Single",596.3227132
"89",138553,60,42,1,"M","Married",162.3570971
"93",132547,40,23,1,"M","Married",593.2666445
"95",110208,35,16,1,"F","Single",394.9982853
"96",160827,70,53,1,"F","Married",59.00575916
"100",188352,67,50,1,"M","Single",78.38607932
"102",147805,25,8,1,"M","Single",3500
"103",190621,16,0,1,"M","Single",3250
"107",142085,25,7,1,"F","Married",2879.067137
"109",164185,25,6,1,"F","Single",2879.176458
"110",122992,50,32,1,"F","Single",3462.340629
"114",157408,63,45,1,"F","Married",60.82862632
"116",167022,58,38,1,"F","Married",314.6819894
"117",112619,17,0,1,"M","Single",1197.444316
"121",196406,50,33,1,"M","Married",142.5319857
"123",119860,23,5,1,"M","Single",1086.924905
"124",100079,20,3,1,"M","Married",681.5827516
"128",178158,61,40,1,"F","Married",287.7680412
"130",184637,21,2,1,"F","Single",233.2261935
"131",129471,22,4,1,"F","Married",296.220441
"135",149411,16,0,1,"M","Single",534.6193671
"137",128261,66,47,1,"M","Married",313.1380724
"138",103771,70,52,1,"F","Married",28.52569444
"142",181059,24,5,1,"F","Single",768.3369443
"144",196280,70,49,1,"F","Single",57.96961012
"145",108827,25,7,1,"F","Single",422.6834837
"149",172196,25,6,1,"M","Single",619.623702
"151",108405,70,50,1,"F","Single",36.73113056
"152",110555,26,5,1,"M","Single",513.9091147
"156",137629,20,2,1,"M","Married",250.0483034
"158",174549,69,50,1,"F","Single",96.57177764
"159",101976,70,53,1,"F","Single",156.106545
"163",196143,51,31,1,"M","Married",514.6965606
"165",122609,64,45,1,"F","Married",35.48597259
"166",128464,62,42,1,"F","Single",92.7900941
